temperature,vibration,pressure,failure
74.96714153011233,70.99033154879004,26.62410862512809,0
68.61735698828815,63.869505243691535,29.27740664642241,0
76.47688538100692,50.89445554880261,26.037900395000193,0
85.23029856408026,40.295948334416394,28.4601923518048,1
67.65846625276664,60.47334970420385,20.531926665231072,0
67.6586304305082,55.90228078132624,31.066468536864694,0
85.79212815507391,63.42789830041598,30.006027376811122,1
77.67434729152909,59.52757702522954,25.914556844659046,0
65.30525614065049,65.74329072979003,33.296228342162024,0
75.42560043585965,41.97147182659148,34.68785068813279,0
65.36582307187538,69.76091098451488,21.962200678155128,0
65.34270246429743,52.96399407038599,26.18637610716893,0
72.41962271566034,81.12891308937898,26.15428825106351,1
50.86719755342202,39.66218272865648,25.300484494455677,0
52.75082167486967,76.03945704747875,34.14737420965874,0
64.37712470759027,52.96866175193972,29.030869306135983,0
59.87168879665576,40.22872994578327,28.677425793446947,0
73.14247332595274,42.741712489185176,19.980688177966233,0
60.91975924478789,45.1947903770852,33.17709015104613,0
55.87696298664709,56.36248919602875,23.80370802573264,0
84.65648768921554,57.84253232053249,30.299663151331643,0
67.74223699513465,41.394499940921314,31.386884689790957,0
70.67528204687923,49.634681116085254,36.80329297919326,0
55.75251813786544,82.13405537917795,23.45589800440444,1
64.55617275474818,75.91314755151066,14.902439220895873,0
71.10922589709867,56.54485504511048,30.919247723768475,0
58.490064225776976,50.570052172523006,39.00255590755427,0
73.75698018345672,51.80046990077392,36.19473176469719,0
63.99361310081195,59.20276959095625,31.048297076373128,0
67.08306250206724,34.658111522023916,27.541819071839765,0
63.98293387770603,46.139351938649824,34.03561298318655,0
88.52278184508938,24.97123889183616,25.132269001477656,1
69.86502775262066,55.98834683907919,32.3817888467811,0
59.422890710440996,59.707939095541114,32.52735079583314,0
78.22544912103189,42.75220306550939,35.3010495374944,0
57.791563500289776,73.6098014493505,43.79830019455539,1
72.08863595004756,31.613515054964882,31.962079835893835,0
50.403298761202244,28.034376796852698,27.455181871462507,0
56.71813951101569,53.36677727839958,29.87212843904003,0
71.96861235869123,65.70647453918232,21.15462047555441,0
77.3846657999541,75.25891537186803,26.52643434455471,0
71.7136828118997,43.1167360569659,27.95358780943448,0
68.8435171761176,66.18021250146944,27.379558010327038,0
66.98896304410711,49.422372957489394,30.76177436016861,0
55.214780096325725,47.41059050088771,25.887900338088997,0
62.801557916052914,63.25489906230008,35.60515333662236,0
65.39361229040213,59.78484317620129,30.001035324590987,0
80.57122226218915,26.354117645236258,29.953498394306926,0
73.43618289568461,72.14810524588844,28.36052641743541,0
52.36959844637266,70.70137031221176,30.775953419294897,0
73.24083969394795,40.61655947735706,34.125491323338174,0
66.14917719583684,55.93705300156114,25.664348921445498,0
63.23077999694041,57.41045279424108,26.709417554623716,0
76.11676288840867,53.910106487358604,28.481369856116675,0
80.30999522495951,41.7454226923187,23.270645382633926,0
79.31280119116198,39.92564948092922,25.903710701392512,0
61.607824767773614,49.61668893512832,27.618895632276704,0
66.90787624148786,67.59093528889048,34.371945903563635,0
73.31263431403563,58.15400231891648,31.312806645009626,0
79.75545127122359,44.44078501870841,30.967949556837723,0
65.2082576215471,61.57548065972517,34.25448981083986,0
68.14341023336183,7.27186069054887,29.313141058003016,0
58.93665025993972,67.23148550558156,31.952324249644448,0
58.037933759193294,23.904293318328506,29.48389123533752,0
78.12525822394198,44.563385878953014,31.326811746998143,0
83.56240028570824,33.20495158060784,27.08620671194209,0
69.27989878419666,30.579777864186415,17.805914208617857,0
80.03532897892023,67.41240181067779,29.32860418906848,0
73.61636025047635,42.98448198032163,37.1137406804997,0
63.54880245394876,55.197558225960734,34.631077011207964,0
